Aluno 0: (6.96, 6.89) = Aprovado
Aluno 1: (9.44, 7.42) = Aprovado
Aluno 2: (0.25, 4.43) = Reprovado
Aluno 3: (8.43, 0.21) = Reprovado
Aluno 4: (6.59, 6.26) = Aprovado
Aluno 5: (4.06, 5.17) = Aprovado
Aluno 6: (1.38, 4.42) = Reprovado
Aluno 7: (6.84, 5.10) = Aprovado
Aluno 8: (4.75, 0.44) = Reprovado
Aluno 9: (7.07, 0.26) = Reprovado
Aluno 10: (1.10, 9.48) = Aprovado
Aluno 11: (9.68, 4.46) = Aprovado
Aluno 12: (7.00, 1.64) = Reprovado
Aluno 13: (5.46, 3.75) = Reprovado
Aluno 14: (6.16, 5.27) = Aprovado
Aluno 15: (7.33, 7.34) = Aprovado
Aluno 16: (8.01, 7.53) = Aprovado
Aluno 17: (3.30, 0.42) = Reprovado
Aluno 18: (4.38, 4.81) = Aprovado
Aluno 19: (7.02, 4.40) = Aprovado
Aluno 20: (2.80, 9.18) = Aprovado
Aluno 21: (4.21, 0.19) = Reprovado
Aluno 22: (7.02, 9.13) = Aprovado
Aluno 23: (5.81, 5.16) = Aprovado
Aluno 24: (7.49, 7.94) = Aprovado
Aluno 25: (8.68, 4.21) = Aprovado
Aluno 26: (0.03, 5.21) = Reprovado
Aluno 27: (8.81, 8.54) = Aprovado
Aluno 28: (5.18, 9.76) = Aprovado
Aluno 29: (1.90, 3.77) = Reprovado
Aluno 30: (9.24, 1.19) = Reprovado
Aluno 31: (9.20, 1.32) = Reprovado
Aluno 32: (4.25, 4.51) = Reprovado
Aluno 33: (0.89, 4.60) = Reprovado
Aluno 34: (7.29, 7.06) = Aprovado
Aluno 35: (8.57, 3.21) = Aprovado
Aluno 36: (1.24, 2.93) = Reprovado
Aluno 37: (1.41, 3.08) = Reprovado
Aluno 38: (1.69, 3.19) = Reprovado
Aluno 39: (4.37, 3.87) = Reprovado
Aluno 40: (5.24, 0.80) = Reprovado
Aluno 41: (7.37, 6.36) = Aprovado
Aluno 42: (6.29, 5.07) = Aprovado
Aluno 43: (2.72, 1.27) = Reprovado
Aluno 44: (3.44, 2.24) = Reprovado
Aluno 45: (3.63, 2.17) = Reprovado
Aluno 46: (4.64, 9.12) = Aprovado
Aluno 47: (1.70, 7.25) = Aprovado
Aluno 48: (0.08, 3.47) = Reprovado
Aluno 49: (0.23, 1.07) = Reprovado
