Aluno 0: (2.66, 3.67) = Reprovado
Aluno 1: (9.67, 4.20) = Aprovado
Aluno 2: (2.32, 7.51) = Aprovado
Aluno 3: (1.28, 0.26) = Reprovado
Aluno 4: (0.72, 7.21) = Reprovado
Aluno 5: (0.29, 1.82) = Reprovado
Aluno 6: (5.67, 2.50) = Aprovado
Aluno 7: (3.15, 5.24) = Reprovado
Aluno 8: (6.70, 5.30) = Reprovado
Aluno 9: (5.25, 4.45) = Aprovado
Aluno 10: (5.18, 4.55) = Aprovado
Aluno 11: (7.24, 0.71) = Reprovado
Aluno 12: (6.88, 5.68) = Reprovado
Aluno 13: (7.67, 0.14) = Reprovado
Aluno 14: (5.46, 2.34) = Aprovado
Aluno 15: (0.44, 0.31) = Reprovado
Aluno 16: (2.91, 6.74) = Aprovado
Aluno 17: (9.84, 2.09) = Reprovado
Aluno 18: (0.97, 1.13) = Reprovado
Aluno 19: (3.93, 1.50) = Reprovado
Aluno 20: (7.07, 6.65) = Aprovado
Aluno 21: (1.17, 1.20) = Reprovado
Aluno 22: (1.66, 2.88) = Reprovado
Aluno 23: (4.73, 8.79) = Aprovado
Aluno 24: (1.04, 6.10) = Reprovado
Aluno 25: (8.94, 8.17) = Aprovado
Aluno 26: (7.66, 6.72) = Aprovado
Aluno 27: (9.40, 2.58) = Reprovado
Aluno 28: (2.12, 8.75) = Aprovado
Aluno 29: (5.74, 9.52) = Aprovado
Aluno 30: (3.77, 0.38) = Reprovado
Aluno 31: (8.85, 2.42) = Reprovado
Aluno 32: (5.61, 3.99) = Reprovado
Aluno 33: (5.38, 2.06) = Reprovado
Aluno 34: (5.96, 9.98) = Aprovado
Aluno 35: (0.12, 0.52) = Reprovado
Aluno 36: (8.59, 2.75) = Reprovado
Aluno 37: (6.46, 1.93) = Reprovado
Aluno 38: (2.16, 9.03) = Aprovado
Aluno 39: (6.15, 3.70) = Aprovado
Aluno 40: (4.02, 9.46) = Aprovado
Aluno 41: (2.75, 9.20) = Aprovado
Aluno 42: (7.10, 8.74) = Aprovado
Aluno 43: (5.81, 6.01) = Aprovado
Aluno 44: (6.76, 9.83) = Aprovado
Aluno 45: (1.73, 6.14) = Reprovado
Aluno 46: (6.99, 1.39) = Reprovado
Aluno 47: (5.11, 6.10) = Aprovado
Aluno 48: (3.83, 8.59) = Aprovado
Aluno 49: (1.20, 10.00) = Aprovado
